"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
41,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",7,"Sarajevo",41,"Stari Grad Sarajevo","Opcine","Commune",NA,"Srpski Stari Grad"
42,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",7,"Sarajevo",42,"Trnovo","Opcine","Commune",NA,NA
43,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",7,"Sarajevo",43,"Vogošca","Opcine","Commune",NA,NA
44,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",8,"Tuzla",44,"Živinice","Opcine","Commune",NA,NA
45,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",8,"Tuzla",45,"Celic","Opcine","Commune",NA,NA
46,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",8,"Tuzla",46,"Banovici","Opcine","Commune",NA,NA
47,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",8,"Tuzla",47,"Doboj East","Opcine","Commune",NA,NA
48,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",8,"Tuzla",48,"Gracanica","Opcine","Commune",NA,NA
49,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",8,"Tuzla",49,"Gradacac","Opcine","Commune",NA,NA
50,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",8,"Tuzla",50,"Kalesija","Opcine","Commune",NA,NA
51,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",8,"Tuzla",51,"Kladanj","Opcine","Commune",NA,NA
52,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",8,"Tuzla",52,"Lukavac","Opcine","Commune",NA,NA
53,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",8,"Tuzla",53,"Sapna","Opcine","Commune",NA,NA
54,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",8,"Tuzla",54,"Srebrenik","Opcine","Commune",NA,NA
55,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",8,"Tuzla",55,"Teocak","Opcine","Commune",NA,NA
56,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",8,"Tuzla",56,"Tuzla","Opcine","Commune",NA,NA
57,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",9,"Una-Sana",57,"Bihac","Opcine","Commune",NA,NA
58,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",9,"Una-Sana",58,"Bosanska Krupa","Opcine","Commune",NA,NA
59,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",9,"Una-Sana",59,"Bosanski Petrovac","Opcine","Commune",NA,NA
60,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",9,"Una-Sana",60,"Bužim","Opcine","Commune",NA,NA
61,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",9,"Una-Sana",61,"Cazin","Opcine","Commune",NA,NA
62,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",9,"Una-Sana",62,"Kljuc","Opcine","Commune",NA,NA
63,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",9,"Una-Sana",63,"Sanski Most","Opcine","Commune",NA,NA
64,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",9,"Una-Sana",64,"Velika Kladuša","Opcine","Commune",NA,NA
65,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",10,"West Herzegovina",65,"Široki Brijeg","Opcine","Commune",NA,NA
66,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",10,"West Herzegovina",66,"Grude","Opcine","Commune",NA,NA
67,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",10,"West Herzegovina",67,"Ljubuški","Opcine","Commune",NA,NA
68,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",10,"West Herzegovina",68,"Posušje","Opcine","Commune",NA,NA
69,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",11,"Zenica-Doboj",69,"Žepce","Opcine","Commune",NA,NA
70,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",11,"Zenica-Doboj",70,"Breza","Opcine","Commune",NA,NA
71,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",11,"Zenica-Doboj",71,"Doboj South","Opcine","Commune",NA,NA
72,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",11,"Zenica-Doboj",72,"Kakanj","Opcine","Commune",NA,NA
73,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",11,"Zenica-Doboj",73,"Maglaj","Opcine","Commune",NA,NA
74,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",11,"Zenica-Doboj",74,"Olovo","Opcine","Commune",NA,NA
75,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",11,"Zenica-Doboj",75,"Tešan/ Usora","Opcine","Commune",NA,NA
76,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",11,"Zenica-Doboj",76,"Vareš","Opcine","Commune",NA,NA
77,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",11,"Zenica-Doboj",77,"Visoko","Opcine","Commune",NA,NA
78,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",11,"Zenica-Doboj",78,"Zavidovici","Opcine","Commune",NA,NA
79,30,"BIH","Bosnia and Herzegovina",2,"Federacija Bosna i Hercegovina",11,"Zenica-Doboj",79,"Zenica","Opcine","Commune",NA,NA
80,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",12,"Banja Luka",80,"Šipovo","Opcine","Commune",NA,NA
81,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",12,"Banja Luka",81,"Celinac","Opcine","Commune",NA,NA
82,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",12,"Banja Luka",82,"Banja Luka","Opcine","Commune",NA,NA
83,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",12,"Banja Luka",83,"Bosanska Gradiška","Opcine","Commune",NA,NA
84,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",12,"Banja Luka",84,"Bosanska Kostajnica","Opcine","Commune",NA,"Srpska Kostajnica"
85,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",12,"Banja Luka",85,"Dubica","Opcine","Commune",NA,NA
86,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",12,"Banja Luka",86,"Istocni Drvar","Opcine","Commune",NA,"Srpski Drvar"
87,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",12,"Banja Luka",87,"Jezero","Opcine","Commune",NA,NA
88,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",12,"Banja Luka",88,"Kotor Varoš","Opcine","Commune",NA,NA
89,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",12,"Banja Luka",89,"Krupa na Uni","Opcine","Commune",NA,NA
90,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",12,"Banja Luka",90,"Kupres","Opcine","Commune",NA,NA
91,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",12,"Banja Luka",91,"Laktaši","Opcine","Commune",NA,NA
92,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",12,"Banja Luka",92,"Mrkonjic Grad","Opcine","Commune",NA,NA
